204,MAXS,"Max's Group, Inc.",2.57,2.51,3.62,2.41,,0.19 (7.39%),2024-12-19 23:04:15
205,MB,Manila Bulletin Publishing Corp.,0.2,0.2,0.275,0.172,27.397,,2024-12-19 23:04:15
206,MBC,Manila Broadcasting Company,6.01,6.0,8.99,6.0,,0.30 (4.99%),2024-12-19 23:04:15
207,MBT,Metropolitan Bank and Trust Company,73.3,75.0,82.6,50.5,11.747,2.20 (3.00%),2024-12-19 23:04:15
208,MED,"MEDCO Holdings, Inc.",0.12,0.12,0.244,0.084,,,2024-12-19 23:04:15
209,MEDIC,,0.305,0.305,0.39,0.265,,,2024-12-19 23:04:15
210,MEG,Megaworld Corporation,2.06,2.09,2.36,1.72,3.815,0.07 (3.40%),2024-12-19 23:04:15
211,MER,Manila Electric Company,464.6,479.0,503.5,345.0,22.488,28.07 (6.04%),2024-12-19 23:04:15
212,MFC,Manulife Financial Corporation,1997.0,1780.0,2086.0,1001.0,18.467,1.46 (0.07%),2024-12-19 23:04:15
213,MFIN,Makati Finance Corporation,1.69,1.69,2.41,1.39,,0.01 (0.59%),2024-12-19 23:04:15
214,MG,"Millennium Global Holdings, Inc.",0.089,0.089,0.136,0.076,,,2024-12-19 23:04:15
215,MHC,Mabuhay Holdings Corporation,0.176,0.17,0.215,0.111,23.467,,2024-12-19 23:04:15
216,MJC,"Manila Jockey Club, Inc.",1.27,1.27,2.17,0.97,52.049,0.05 (3.94%),2024-12-19 23:04:15
217,MJIC,MJC Investments Corporation,1.0,1.0,1.45,0.67,500.00,,2024-12-19 23:04:15
218,MM,MerryMart Consumer Corp.,0.57,0.58,1.09,0.56,,,2024-12-19 23:04:15
219,MONDE,,7.08,7.2,11.9,7.02,,,2024-12-19 23:04:15
220,MRC,"MRC Allied, Inc.",0.81,0.86,1.56,0.425,27.00,,2024-12-19 23:04:15
221,MREIT,,13.22,13.28,14.2,11.96,,,2024-12-19 23:04:15
222,MRSGI,"Metro Retail Stores Group, Inc.",1.19,1.2,1.52,1.15,,0.06 (5.04%),2024-12-19 23:04:15
223,MVC,Mabuhay Vinyl Corporation,5.34,5.4,6.54,4.0,9.709,0.10 (1.87%),2024-12-19 23:04:15
224,MWC,"Manila Water Company, Inc.",25.7,26.05,30.2,17.56,11.629,0.62 (2.41%),2024-12-19 23:04:15
225,MWIDE,Megawide Construction Corporation,2.42,2.45,3.44,2.3,8.643,1.00 (41.32%),2024-12-19 23:04:15
226,MWP,Megawide Const. Corp. - Perpetual Pref.,100.7,100.7,102.1,99.5,,,2024-12-19 23:04:15
227,MWP2A,,97.0,97.0,99.8,85.25,,,2024-12-19 23:04:15
228,MWP2B,,97.4,97.4,100.7,87.0,,,2024-12-19 23:04:15
229,MWP4,,97.0,98.0,99.5,85.0,,,2024-12-19 23:04:15
230,MWP5,,103.0,102.9,105.0,98.0,,,2024-12-19 23:04:15
231,NI,"NiHAO Minerals Resources Int'l, Inc.",0.435,0.435,1.22,0.34,14.50,,2024-12-19 23:04:15
232,NIKL,Nickel Asia Corporation,3.0,3.1,5.48,2.92,15.00,0.24 (8.00%),2024-12-19 23:04:15
233,NOW,Now Corporation,0.59,0.6,1.3,0.57,,,2024-12-19 23:04:15
234,NRCP,National Reinsurance Corp. of the Phils.,0.66,0.7,0.92,0.335,8.919,,2024-12-19 23:04:15
235,OGP,,13.84,14.1,16.46,12.28,,,2024-12-19 23:04:15
236,OM,Omico Corporation,0.14,0.14,0.275,0.112,-5.893,,2024-12-19 23:04:15
237,OPM,Oriental Pet. and Minerals Corp. ''A'',0.0068,0.0068,0.0097,0.0068,10.94,0.00 (0.00%),2024-12-19 23:04:15
238,OPMB,Oriental Pet. and Minerals Corp. ''B'',0.0067,0.0068,0.0092,0.0067,9.571,,2024-12-19 23:04:15
239,ORE,"Oriental Peninsula Resources Group, Inc.",0.43,0.43,0.69,0.4,71.667,,2024-12-19 23:04:15
240,OV,The Philodrill Corporation,0.0083,0.0078,0.0098,0.0063,13.833,,2024-12-19 23:04:15
241,PA,"Pacifica Holdings, Inc.",1.38,1.59,1.62,0.7,"-15,333.332",,2024-12-19 23:04:15
242,PAL,PAL Holdings Inc.,4.75,4.75,6.25,4.3,,,2024-12-19 23:04:15
243,PAX,"Paxys, Inc.",1.65,1.47,2.09,1.02,55.00,,2024-12-19 23:04:15
244,PBB,Philippine Business Bank,9.4,9.4,9.89,7.53,5.732,0.70 (7.45%),2024-12-19 23:04:15
245,PBC,Philippine Bank of Communications,15.9,15.9,17.88,14.04,6.598,,2024-12-19 23:04:15
246,PCOR,Petron Corporation,2.38,2.37,3.55,2.33,8.50,0.10 (4.20%),2024-12-19 23:04:15
247,PERC,Petroenergy Resources Corporation,3.5,3.5,5.0,3.45,6.797,0.05 (1.43%),2024-12-19 23:04:15
248,PGOLD,"Puregold Price Club, Inc.",30.2,30.6,34.45,22.55,12.743,2.80 (9.27%),2024-12-19 23:04:15
249,PHA,Premiere Horizon Alliance Corporation,0.179,0.177,0.234,0.16,9.944,,2024-12-19 23:04:15
250,PHES,Phil. Estates Corporation,0.27,0.27,0.4,0.25,22.50,,2024-12-19 23:04:15
251,PHN,Phinma Corporation,18.4,18.48,37.78,17.2,22.169,1.20 (6.52%),2024-12-19 23:04:15
